Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.5,ADMINISTRATIVO,JEFE PRODUCCIÓN
CI.1.6,TOPOGRAFIA,JEFE PRODUCCIÓN
CI.1.8,CAPATAZ,JEFE PRODUCCIÓN
CI.1.9,OFICIAL APOYO,JEFE PRODUCCIÓN
CI.1.11,PEÓN APOYO,JEFE PRODUCCIÓN
CI.1.12,MAQUINISTA,JEFE PRODUCCIÓN
CI.1.13,VIGILANTE SEGURIDAD,JEFE PRODUCCIÓN
CI.1.16,TECNICO PREVENCION,JEFE PRODUCCIÓN
CI.1.17,INGENIERO INSTALACIONES,JEFE PRODUCCIÓN
CI.03P.9,VEHICULOS,JEFE PRODUCCIÓN
CI.03A.7,CONTENEDORES,GRUPO ELECTRÓGENO
CI.03A.8,CAMION GRUA,GRUPO ELECTRÓGENO
CI.03A.10,ALQUILER MAQUINARIA,GRUPO ELECTRÓGENO
CI.03A.12,MANITOU,GRUPO ELECTRÓGENO
CI.03A.2,MEDIOS AUXILIARES,GRUPO ELECTRÓGENO
CI.4.1,COMBUSTIBLES,GRUPO ELECTRÓGENO
CI.4.2,AGUA,GRUPO ELECTRÓGENO
CI.4.3,ELECTRICIDAD,GRUPO ELECTRÓGENO
CI.4.15,CAJA DE OBRA,GRUPO ELECTRÓGENO
CI.4.6,REPROGRAFÍA/PAPELERIA,GRUPO ELECTRÓGENO
CI.4.7,REPROGRAFÍA/PAPELERIA,GRUPO ELECTRÓGENO
CI.4.8,REPROGRAFÍA/PAPELERIA,GRUPO ELECTRÓGENO
CI.4.5,RESTO CONSUMOS,GRUPO ELECTRÓGENO
CI.4.13,RESTO CONSUMOS,GRUPO ELECTRÓGENO
CI.4.14,RESTO CONSUMOS,GRUPO ELECTRÓGENO
CI.4.18,FERRETERIA,GRUPO ELECTRÓGENO
CI.4.19,PALETS,ALQUILER PISO
CI.7.1,TASAS OCUP. Y LICENCIA CALA,ALQUILER PISO
CI.7.5,TASAS OCUP. Y LICENCIA CALA,ALQUILER PISO
